Title: Forecasting the detectability of known radial velocity planets with the upcoming CHEOPS mission
Authors: Joo Sung Yi, Jingjing Chen & David Kipping 
Table: Final predicted properties for 468 RV planets using forecaster
================================================================================

--------------------------------------------------------------------------------
  Column    Units     Explanations
--------------------------------------------------------------------------------
  1         ---       Planet name
  2         ---       Planetary mass [Earth masses]
  3         ---       Planetary mass ±34.1% uncertainty [Earth masses]
  4         ---       Planetary radius  2.2% quantile [Earth radii]
  5         ---       Planetary radius 15.9% quantile [Earth radii]
  6         ---       Planetary radius 50.0% quantile [Earth radii]
  7         ---       Planetary radius 84.1% quantile [Earth radii]
  8         ---       Planetary radius 97.7% quantile [Earth radii]
  9         ---       Stellar radius [Solar radii]
  10         ---      Stellar radius -34.1% uncertainty [Solar radii]
  11         ---      Stellar radius +34.1% uncertainty [Solar radii]
  12        ---       Transit depth  2.2% quantile [parts per thousand]
  13        ---       Transit depth 15.9% quantile [parts per thousand]
  14        ---       Transit depth 50.0% quantile [parts per thousand]
  15        ---       Transit depth 84.1% quantile [parts per thousand]
  16        ---       Transit depth 97.7% quantile [parts per thousand]
  17        ---       V-band apparent magnitude
  18        ---       CHEOPS r.m.s. photometric noise [parts per million/hour]
  19        ---       CHEOPS signal-to-noise ratio per hour 2.2% quantile
  20        ---       CHEOPS signal-to-noise ratio per hour 15.9% quantile
  21        ---       CHEOPS signal-to-noise ratio per hour 50.0% quantile
  22        ---       CHEOPS signal-to-noise ratio per hour 84.1% quantile
  23        ---       CHEOPS signal-to-noise ratio per hour 97.7% quantile
  24        ---       Geometric transit probability [%]
  25        ---       Planet flag
--------------------------------------------------------------------------------
Note (1): The flag value at the end of each row denotes the following cases:
          0 = No remarks
          1 = No stellar radii was reported on EOD and the EOD reported maximum
              a-posteriori stellar mass was below 0.87 Solar masses enabling a
              forecaster stellar radius prediction. Forecaster prediction used
              the reported stellar mass uncertainty assuming a Gaussian.
          2 = No stellar radii was reported on EOD and the EOD reported maximum
              a-posteriori stellar mass was below 0.87 Solar masses enabling a
              forecaster stellar radius prediction. Forecaster prediction could
              not use the reported stellar mass uncertainty, since none existed,
              and thus we assumed a Gaussian of width equal to 5.0% of the best
              reported stellar mass.
          3 = Object has an EOD reported maximum a-posteriori stellar radius but
              no associated uncertainty. Uncertainty was therefore assumed to be
              equal to 3.5% of the maximum a-posteriori value and Gaussian.
--------------------------------------------------------------------------------
alpha_Cen_B_b	1.1271016526062068	0.09605244320578486	0.81541908585352696	0.93479577217568022	1.04238196410415196	1.16372352883923869	1.34304412608557389	0.91	0.03	0.03	0.06626649735207235	0.08764276798506082	0.11015663583796273	0.13903732231393895	0.18691727812330625	1.33	39.024868853679145	1.6980581690238004	2.245818386057129	2.8227291743371867	3.5627876889285415	4.789696509273067	10.0892	0
GJ_581_e	1.9496650718087774	0.22477643406648587	0.74533624969138246	1.0437108839929008	1.23131770011275421	1.49851827367362134	2.24331843499926142	0.299	0.01	0.01	0.5191141407584259	1.0145052693130483	1.4240050861756135	2.1294025531528766	4.74899218715891	10.57	61.24766752739897	8.475655673356078	16.563982111795724	23.24994801701778	34.767079941457276	77.53751904159392	3.9903	0
HD_20794_c	2.3633383514110675	0.42931621321683233	0.74994907512633513	1.06131485380693347	1.31828969214879244	1.80869079922777387	2.68895817737386	1.22683	0.0452052	0.0452052	0.03119477902843081	0.062152564408273575	0.09715671483019162	0.1831152124049508	0.40642184040497464	4.26	40.845483336019846	0.7637265244679208	1.5216508492987755	2.3786403512702066	4.483120224053501	9.950227227365652	2.7955	0
HD_20794_b	2.697242839710756	0.3059798495530782	0.76071238728682866	1.08993075377310755	1.4220125801892809	1.98751423074043454	2.88439115615078068	1.22683	0.0452052	0.0452052	0.031927396056787044	0.06585521405061533	0.11316380075383423	0.22123002284606066	0.4688727466098802	4.26	40.845483336019846	0.7816628290117862	1.612301010343058	2.7705340104040346	5.416266494537172	11.479182233018205	4.7147	0
HD_85512_b	3.62161563221854	0.44256280958119915	0.84622942733288031	1.22156024130423413	1.69887368300664821	2.4206287675198026	3.4585480174046768	0.881928	0.0806383	0.0806383	0.07478103919193352	0.15840251775686423	0.3151614537340434	0.6524717023065664	1.3686326554609578	7.67	35.510949881076726	2.105858599738084	4.460666872819266	8.875049943453877	18.373817216707547	38.54114463410291	1.5968	0
HD_40307_b	4.102090785377121	0.26676096188611026	0.91541301123735086	1.31393986989369571	1.8429573348188365	2.60886949840744631	3.7308257319948783	0.839223	0.0516617	0.0516617	0.0983950221360625	0.20354634494597404	0.40728744495955227	0.822648797037456	1.698953794593538	7.17	37.389532385792904	2.63161948966899	5.4439393048765865	10.893087422358656	22.00211515215532	45.4392897205395	8.3041	0
HD_156668_b	4.150112875364066	0.5874363337350608	0.90577122334672866	1.30545724747921965	1.84317652381932795	2.63512797355120742	3.7959850665917951	0.728691	0.0433208	0.0433208	0.12817839629389752	0.26752331540996444	0.5394048528876428	1.1098661708016058	2.325691829956609	8.424	38.25597127789548	3.3505461242323684	6.992981918212097	14.099886497962583	29.011579989419655	60.79291029007038	6.7643	0
GJ_667_C_c	4.153449949784072	0.6810937109571156	0.90266380269680735	1.30281712427404606	1.84403471446205491	2.63816226831413259	3.8075670681963047	0.359	0.038	0.042	0.49204301966685143	1.0602731264099226	2.202320877406196	4.660089562659975	9.99894991694442	10.22	52.47710588535251	9.376336811367322	20.20448933914756	41.967270112373164	88.80233549542423	190.5392789531738	N/A	2
HD_20794_d	4.701524696193633	0.5749016465802952	0.97459567787739054	1.40347191392952553	1.99469923093955892	2.83338025245080605	4.0551965505007503	1.22683	0.0452052	0.0452052	0.05263137208603973	0.10953803216875006	0.22260227755490092	0.44957709210202695	0.9249826232833119	4.26	40.845483336019846	1.2885481523884041	2.681766090699024	5.4498627357066365	11.006776156950616	22.64589736088666	1.6274	0
61_Vir_b	5.108902028723511	0.5838640750225972	1.02585799330451466	1.48209938936933106	2.09678260592236931	2.97556118890953147	4.2566756993715291	0.978547	0.0342491	0.0342491	0.09207262249330005	0.1916890845149947	0.385436546880245	0.7800880108080217	1.5981256526948797	4.866	41.83440478976875	2.2008828129859714	4.582091832746124	9.21338665668095	18.647044573197906	38.20122840819588	N/A	3
